generation,fitness,distribution
51,"[0, 2, 2, 0, 2]","[1, 0.06337780452600017, 0.7111050568016367, 0.8351950242633459, 1, 0.9887928885256462, 1, 0.026390435423301106, 0, 0.6692185891633382, 0.9112966461576416, 1, 0.03390291716588567, 0, 0.7769893677065793, 0.7325637333068139, 0.19366678740995813, 0.31350613844263764, 0.6109908500050222, 0, 0.8400362124546132, 0, 1, 0.35008359789412247, 0.6892382425382942, 0.5857188249410458]"
52,"[0, 2, 2, 2, 0]","[0, 0.7922900842445834, 0, 0.5250918435284047, 0.712882296048374, 1, 0.6878734374899543, 0.2872476578757903, 0, 1, 0.4796691129638081, 1, 1, 0.22507187121337935, 0.7769893677065793, 1, 0, 0.31350613844263764, 0.6109908500050222, 0.3409797974934401, 1, 0.2107563240344088, 0.6308388184444018, 0.35008359789412247, 0.23733482356040314, 1]"
53,"[2, 2, 0, 1, 2]","[0.6685326856035968, 0.06337780452600017, 0.4230145534110039, 0.46115946565947785, 1, 1, 1, 0.10195151111691336, 0.28991951990767706, 0.46203596958025017, 0.38975569286001355, 0.6715598332795037, 0.5483726874606867, 0.33093602744166206, 0.582116100490348, 1, 0, 0.6431865586961709, 0.4070614408033345, 0.9521840146457341, 0.36530676373856763, 0.4758445000701227, 0.8074892858639449, 0.35008359789412247, 0, 1]"
54,"[2, 0, 2, 2, 0]","[1, 0, 1, 0.7728215426636789, 0.885151816385548, 0.5336298088065563, 0.9700823219715374, 0.10195151111691336, 0.28991951990767706, 0.8655622271489511, 0.38975569286001355, 0.6715598332795037, 0.3386601258547475, 0.6471750275756479, 0.582116100490348, 1, 0, 0.36186095189703227, 0.4070614408033345, 0.9521840146457341, 0, 0.4758445000701227, 0.7341759958886069, 0.35008359789412247, 0, 1]"
55,"[2, 2, 0, 2, 0]","[1, 0.06337780452600017, 0.4230145534110039, 0.46115946565947785, 1, 1, 1, 0.10195151111691336, 0.28991951990767706, 0.46203596958025017, 0.8802710575057057, 0.6715598332795037, 0.3386601258547475, 0.6471750275756479, 1, 0.882664254623024, 0, 0.2839319786256519, 0.2894198880757086, 0.9521840146457341, 0, 0.5450034537167362, 0.7341759958886069, 0.35008359789412247, 0, 1]"
56,"[0, 2, 2, 0, 2]","[0.283085335904391, 0.8033183325136719, 0.8054457223913952, 0.8990691252402954, 1, 0.7579815189121687, 0.9119775096885108, 0, 0.29030309449872005, 0.8262891116970454, 1, 0, 0.13476057177694878, 0.012180790494475957, 1, 1, 0.8998318104798286, 1, 0.6227876381386986, 0.35504401665047436, 0.9182732309695741, 0.17137395591227012, 0.6308388184444018, 0.7311217570725462, 0, 0.8627761028442659]"
57,"[2, 2, 2, 1, 0]","[0, 0.9867204505262535, 1, 0.08490670730689986, 0.6089261286765376, 0.6965034992981668, 1, 0.09523968364868363, 0.28991951990767706, 0.4211210265426122, 0.120980063760603, 0.6803877847937437, 0.5483726874606867, 0.6921505883530126, 0.38116167569059645, 1, 0.5316745135582527, 0.7735737927239071, 0.8650150816794979, 0.5986337095201001, 0.6352339373925939, 0, 0.43008342803842303, 0, 0.07252563242222532, 0.35437652507032347]"
58,"[2, 2, 2, 2, 0]","[0.5653413502390829, 0.06337780452600017, 0.4230145534110039, 0.46115946565947785, 0, 0.6316577427963626, 1, 0.10195151111691336, 0, 0.46203596958025017, 0.120980063760603, 0.6715598332795037, 0.5483726874606867, 0.33093602744166206, 1, 1, 0.37902632313780427, 0.7735737927239071, 0.8710567655965334, 0.1879175835808885, 0.26897078489400195, 0.19851530442115806, 0.43008342803842303, 0.388111661213809, 0.40700375958068225, 0.03707561052384445]"
59,"[2, 2, 2, 0, 1]","[0.8419475136344586, 0.05553152710963516, 0.4230145534110039, 0.46115946565947785, 0.6906085381353467, 0.6965034992981668, 1, 0, 0.28991951990767706, 0.46203596958025017, 0, 0.6715598332795037, 0.5483726874606867, 0.33093602744166206, 0.582116100490348, 0.30285250678149667, 0.09319955173994632, 0.3309995066221595, 0, 1, 0, 0.4758445000701227, 1, 0, 0.23733482356040314, 0.42459023527997275]"
60,"[0, 0, 2, 0, 2]","[0.8419475136344586, 0.2959786306546548, 0.45694218640290574, 0.46115946565947785, 0.6906085381353467, 0.6965034992981668, 1, 0, 0.4690136313970409, 0.46203596958025017, 0, 0.6715598332795037, 0.5483726874606867, 0, 0.582116100490348, 0.30285250678149667, 0.4497171786795485, 0.016368175861020018, 0, 0.9035796852501532, 0, 0.4758445000701227, 1, 0.4509604544786455, 0.23733482356040314, 0.7934020749092567]"
61,"[2, 1, 2, 2, 0]","[0.5624882462423378, 0.735589520104544, 0.48987082232003476, 0.12204879633210708, 0.6086595042919822, 1, 0.3279141322979764, 0.5183533178359221, 0.9268042535005672, 0.5693303386222295, 1, 0.9540956866200894, 0.6872254557564562, 0, 1, 0, 1, 0.3247879389340049, 1, 0.4122485232085431, 0.44508829253616744, 0.191128297194346, 0.43008342803842303, 0.4365723719902539, 0.9202100622214703, 0.22403969560210601]"
